num_devices,auth_latency_s,computation_cost_ms,throughput_ops_s,normalized_throughput,storage_overhead_kb,batch_formation_s,batch_decryption_s,batch_authentication_s,token_generation_s,token_encryption_s
20,0.10917708000051789,4774.099699978251,19.286353800500507,0.9643176900250253,1008.078125,2.072509599995101,0.001495700009400025,7.299997378140688e-06,0.0032210999925155193,2.089052499999525
40,0.10645332999993115,9841.826399991987,16.829103275204904,0.4207275818801226,1968.15625,4.750392399990233,0.003277399984654039,8.800008799880743e-06,0.006973800016567111,4.332524700002978
60,0.09999458999955095,13796.84279995854,17.84471396079015,0.2974118993465025,2928.234375,6.72080989999813,0.0038705999904777855,7.199996616691351e-06,0.008184700011042878,6.424428399972385
80,0.11451579999993555,17287.994600017555,19.400438187931833,0.2425054773491479,3888.3125,8.244251100026304,0.002985300001455471,1.4499993994832039e-05,0.016613600018899888,8.45601219998207
100,0.10496245000103954,20515.399899974,21.463877437226042,0.21463877437226042,4848.390625,9.312492099998053,0.005488800001330674,8.100003469735384e-06,0.00877700001001358,10.555317899998045
