parameter,n,bits_security,nist_level,data_encryption_time_s,query_encryption_time_s,data_decryption_time_s,query_execution_latency_s,query_throughput_per_s,overall_model_throughput_per_s,overall_model_latency_s,false_trust_acceptance_rate,num_data,num_queries,num_malicious,malicious_accepted
PARA.512,512,143,1,0.352911599969957,0.06960586999193766,0.0008267000084742904,0.069900299992878,14.306090247136106,14.248514807315058,1.0527412999072112,N/A,5,10,0,0
PARA.768,768,207,3,0.5981062999926507,0.12408712998731061,0.00044510001316666603,0.12449953999603167,8.032158191362589,8.136489944424275,1.8435467999661341,N/A,5,10,0,0
PARA.1024,1024,272,5,2.6021418000455014,0.5578963400097564,0.0007038000039756298,0.5584879700094462,1.7905488635378954,1.8320106562119645,8.187725300143939,N/A,5,10,0,0
