num_devices,auth_latency_s,computation_cost_ms,throughput_ops_s,normalized_throughput,storage_overhead_kb,batch_formation_s,batch_decryption_s,batch_authentication_s,token_generation_s,token_encryption_s
20,0.2009375200024806,12317.114200035576,9.577989244314328,0.4788994622157164,664.1171875,3.54377150000073,0.6324704000144266,3.7681738999672234,0.002999899967107922,3.6558504000422545
40,0.1969531700015068,25836.16629993776,8.857159786993254,0.22142899467483135,1304.1953125,7.893674799997825,1.138565999979619,7.273459499992896,0.006137699994724244,8.84973259997787
60,0.1640382600016892,33573.589400039054,9.738738536658937,0.16231230894431561,1944.2734375,10.378057199995965,1.9438671999960206,10.398093399999198,0.008820399991236627,9.999181199993473
80,0.21980209999601358,47947.418400028255,9.3977404577752,0.11747175572219,2584.3515625,14.611743300047237,2.4136257999925874,15.252469200000633,0.010777399991638958,14.954184899979737
100,0.1354397399991285,49701.30400004564,12.063800712914762,0.12063800712914763,3224.4296875,14.577519200043753,2.0010040000197478,16.12187219999032,0.007488399976864457,16.096042799996212
