parameter,n,bits_security,nist_level,data_encryption_time_s,query_encryption_time_s,data_decryption_time_s,query_execution_latency_s,query_throughput_per_s,overall_model_throughput_per_s,overall_model_latency_s,false_trust_acceptance_rate,num_data,num_queries,num_malicious,malicious_accepted
PARA.512,512,143,1,0.500486200035084,0.09530717000598088,0.0002636999706737697,0.09546343000256456,10.475215482757488,10.30655685260039,1.4553842000314035,0.0,5,10,5,0
PARA.768,768,207,3,0.8512864999938756,0.17346827998990194,0.0002938000252470374,0.17369778999127447,5.757125637869279,5.7947316001605875,2.5885581999318674,0.0,5,10,5,0
PARA.1024,1024,272,5,3.8264754000119865,0.7688569000049028,0.0010255000088363886,0.7698301400232594,1.2989878520082188,1.3014278407039999,11.525802300253417,0.0,5,10,5,0
